2023-01-12 23:12:20,537:'t'
2023-01-12 23:12:20,917:'o'
2023-01-12 23:12:21,053:'o'
2023-01-12 23:12:21,054:Key.backspace
2023-01-12 23:12:21,054:'ô'
2023-01-12 23:12:21,294:'n'
2023-01-12 23:12:21,439:'g'
2023-01-12 23:12:21,560:'s'
2023-01-12 23:12:21,560:Key.backspace
2023-01-12 23:12:21,561:Key.backspace
2023-01-12 23:12:21,562:Key.backspace
2023-01-12 23:12:21,581:'n'
2023-01-12 23:12:21,582:'g'
2023-01-12 23:12:21,665:Key.space
2023-01-12 23:12:21,839:'d'
2023-01-12 23:12:22,004:'d'
2023-01-12 23:12:22,005:Key.backspace
2023-01-12 23:12:22,005:'ð'
2023-01-12 23:12:22,019:'a'
2023-01-12 23:12:22,134:'w'
2023-01-12 23:12:22,135:Key.backspace
2023-01-12 23:12:22,136:'ã'
2023-01-12 23:12:22,260:'n'
2023-01-12 23:12:22,430:'g'
2023-01-12 23:12:22,571:Key.space
2023-01-12 23:12:22,787:'q'
2023-01-12 23:12:23,202:Key.backspace
2023-01-12 23:12:23,705:Key.backspace
2023-01-12 23:12:23,735:Key.backspace
2023-01-12 23:12:23,763:Key.backspace
2023-01-12 23:12:23,794:Key.backspace
2023-01-12 23:12:23,824:Key.backspace
2023-01-12 23:12:23,853:Key.backspace
2023-01-12 23:12:23,884:Key.backspace
2023-01-12 23:12:23,914:Key.backspace
2023-01-12 23:12:23,944:Key.backspace
2023-01-12 23:12:23,974:Key.backspace
2023-01-12 23:12:24,004:Key.backspace
2023-01-12 23:12:24,034:Key.backspace
2023-01-12 23:12:24,064:Key.backspace
2023-01-12 23:12:24,095:Key.backspace
2023-01-12 23:12:24,125:Key.backspace
2023-01-12 23:12:24,573:'t'
2023-01-12 23:12:24,684:'o'
2023-01-12 23:12:24,916:'n'
2023-01-12 23:12:25,103:'g'
2023-01-12 23:12:25,513:Key.space
2023-01-12 23:12:25,745:'d'
2023-01-12 23:12:25,889:'a'
2023-01-12 23:12:26,020:'n'
2023-01-12 23:12:26,179:'g'
2023-01-12 23:12:26,342:Key.space
2023-01-12 23:12:26,461:'q'
2023-01-12 23:12:26,601:'u'
2023-01-12 23:12:26,761:'a'
2023-01-12 23:12:26,977:'n'
2023-01-12 23:12:28,211:'g'
2023-01-12 23:12:28,491:Key.enter
